pointid,sample_order,batch,regio,area_prop_sb,openheid_klasse,sbp,x_coord,y_coord,crs
Km_48366.2,181,eerste set,Kempen,0,HOL,binnen,227896.5009714,196230.958451775,31370
Km_48848.16,76,eerste set,Kempen,0,HOL,binnen,190338.059826462,228342.925828458,31370
Km_48912,432,eerste set,Kempen,0,HOL,binnen,192391.047789817,234074.868315117,31370
Km_48927.10,272,eerste set,Kempen,0,HOL,binnen,198830.06973889,229704.064598733,31370
Km_4932.2,130,eerste set,Kempen,0,HOL,binnen,229259.162517192,215114.289717976,31370
Km_50054.1,132,eerste set,Kempen,0,HOL,binnen,227445.754361005,220184.25952518,31370
Km_50070.2,269,eerste set,Kempen,0,HOL,binnen,224916.869565076,207064.470836733,31370
Km_50237,391,eerste set,Kempen,0,HOL,binnen,227999.01975804,217746.411372388,31370
Km_50494.16,65,eerste set,Kempen,0.0103573091112156,HOL,binnen,192022.125891096,219406.439568647,31370
Km_5076,196,eerste set,Kempen,0,HOL,binnen,167409.54520328,234834.035715011,31370
Km_50858.12,112,eerste set,Kempen,0,HOL,binnen,186949.823684738,187273.721230217,31370
Km_5097.4,374,eerste set,Kempen,0,HOL,binnen,161647.767472256,233645.049076818,31370
Km_5104.31,98,eerste set,Kempen,0,HOL,binnen,161424.363126302,234242.665823124,31370
Km_51496.1,153,eerste set,Kempen,0,HOL,binnen,199000.792684015,230848.827928906,31370
Km_51538.5,233,eerste set,Kempen,0,HOL,binnen,199256.503036244,233314.512075107,31370
Km_51540.5,335,eerste set,Kempen,0,HOL,binnen,198467.822427559,232731.412747645,31370
Km_51648.3,204,eerste set,Kempen,0.0235370247540567,HOL,binnen,194489.93005703,218287.205207509,31370
Km_51719.13,134,eerste set,Kempen,0,HOL,binnen,190955.693401423,228907.54576428,31370
Km_51735,126,eerste set,Kempen,0,HOL,binnen,159010.814510925,235090.246089886,31370
Km_52319.22,413,eerste set,Kempen,0,HOL,binnen,194054.656060418,236027.027710609,31370
Km_53439.8,521,eerste set,Kempen,0,HOL,binnen,231149.104125346,218703.735432643,31370
Km_55013.2,296,eerste set,Kempen,0,HOL,binnen,193568.772258929,211804.59417209,31370
Km_55157.2,47,eerste set,Kempen,0,HOL,binnen,199373.012636047,238141.851964615,31370
Km_55853.2,69,eerste set,Kempen,0,HOL,binnen,204662.482521105,219435.638137222,31370
Km_55969.2,12,eerste set,Kempen,0,HOL,binnen,208853.550520409,215497.516968634,31370
Km_56138.1,102,eerste set,Kempen,0.0506697920656985,HOL,binnen,229621.198748569,191809.66763131,31370
Km_56358,133,eerste set,Kempen,0,HOL,binnen,197728.611141415,228555.270192681,31370
Km_56873.9,107,eerste set,Kempen,0,HOL,binnen,209213.53893329,218012.133399685,31370
Km_56880.3,105,eerste set,Kempen,0,HOL,binnen,209371.492203018,216306.286960406,31370
Km_5703.1,174,eerste set,Kempen,0,HOL,binnen,158137.193901248,235617.741523665,31370
Km_57486.3,28,eerste set,Kempen,0,HOL,binnen,209739.347423176,183701.688252292,31370
Km_5788,292,eerste set,Kempen,0,HOL,binnen,159302.817245242,235812.603876395,31370
Km_5795.7,8,eerste set,Kempen,0,HOL,binnen,160447.989450483,235108.103562575,31370
Km_57965.2,446,eerste set,Kempen,0,HOL,binnen,183241.001566577,231949.087247177,31370
Km_5798.8,508,eerste set,Kempen,0,HOL,binnen,161154.913769626,234912.702037486,31370
Km_58283.1,479,eerste set,Kempen,0,HOL,binnen,188316.930917791,187624.915842814,31370
Km_58426.1,499,eerste set,Kempen,0,HOL,binnen,244733.088916915,197613.5,31370
